
Média: 5.843
Desvio Padrão: 0.825
btw
1 [ 5.1 ] :['26/10/2018', '5.1', '3.5', '1.4', '0.2', 'setosa']
6 [ 5.4 ] :['15/10/2018', '5.4', '3.9', '1.7', '0.4', 'setosa']
11 [ 5.4 ] :['03/10/2018', '5.4', '3.7', '1.5', '0.2', 'setosa']
15 [ 5.8 ] :['24/09/2018', '5.8', '4.0', '1.2', '0.2', 'setosa']
16 [ 5.7 ] :['21/09/2018', '5.7', '4.4', '1.5', '0.4', 'setosa']
17 [ 5.4 ] :['19/09/2018', '5.4', '3.9', '1.3', '0.4', 'setosa']
18 [ 5.1 ] :['17/09/2018', '5.1', '3.5', '1.4', '0.3', 'setosa']
19 [ 5.7 ] :['14/09/2018', '5.7', '3.8', '1.7', '0.3', 'setosa']
20 [ 5.1 ] :['12/09/2018', '5.1', '3.8', '1.5', '0.3', 'setosa']
21 [ 5.4 ] :['10/09/2018', '5.4', '3.4', '1.7', '0.2', 'setosa']
22 [ 5.1 ] :['08/09/2018', '5.1', '3.7', '1.5', '0.4', 'setosa']
24 [ 5.1 ] :['24/08/2018', '5.1', '3.3', '1.7', '0.5', 'setosa']
28 [ 5.2 ] :['15/08/2018', '5.2', '3.5', '1.5', '0.2', 'setosa']
29 [ 5.2 ] :['13/08/2018', '5.2', '3.4', '1.4', '0.2', 'setosa']
32 [ 5.4 ] :['06/08/2018', '5.4', '3.4', '1.5', '0.4', 'setosa']
33 [ 5.2 ] :['03/08/2018', '5.2', '4.1', '1.5', '0.1', 'setosa']
34 [ 5.5 ] :['01/08/2018', '5.5', '4.2', '1.4', '0.2', 'setosa']
37 [ 5.5 ] :['25/07/2018', '5.5', '3.5', '1.3', '0.2', 'setosa']
40 [ 5.1 ] :['18/07/2018', '5.1', '3.4', '1.5', '0.2', 'setosa']
45 [ 5.1 ] :['06/07/2018', '5.1', '3.8', '1.9', '0.4', 'setosa']
47 [ 5.1 ] :['02/07/2018', '5.1', '3.8', '1.6', '0.2', 'setosa']
49 [ 5.3 ] :['27/06/2018', '5.3', '3.7', '1.5', '0.2', 'setosa']
52 [ 6.4 ] :['20/06/2018', '6.4', '3.2', '4.5', '1.5', 'versicolor']
54 [ 5.5 ] :['15/06/2018', '5.5', '2.3', '4.0', '1.3', 'versicolor']
55 [ 6.5 ] :['13/06/2018', '6.5', '2.8', '4.6', '1.5', 'versicolor']
56 [ 5.7 ] :['11/06/2018', '5.7', '2.8', '4.5', '1.3', 'versicolor']
57 [ 6.3 ] :['08/06/2018', '6.3', '3.3', '4.7', '1.6', 'versicolor']
59 [ 6.6 ] :['04/06/2018', '6.6', '2.9', '4.6', '1.3', 'versicolor']
60 [ 5.2 ] :['01/06/2018', '5.2', '2.7', '3.9', '1.4', 'versicolor']
62 [ 5.9 ] :['28/05/2018', '5.9', '3.0', '4.2', '1.5', 'versicolor']
63 [ 6.0 ] :['25/05/2018', '6.0', '2.2', '4.0', '1.0', 'versicolor']
64 [ 6.1 ] :['23/05/2018', '6.1', '2.9', '4.7', '1.4', 'versicolor']
65 [ 5.6 ] :['21/05/2018', '5.6', '2.9', '3.6', '1.3', 'versicolor']
67 [ 5.6 ] :['16/05/2018', '5.6', '3.0', '4.5', '1.5', 'versicolor']
68 [ 5.8 ] :['14/05/2018', '5.8', '2.7', '4.1', '1.0', 'versicolor']
69 [ 6.2 ] :['11/05/2018', '6.2', '2.2', '4.5', '1.5', 'versicolor']
70 [ 5.6 ] :['09/05/2018', '5.6', '2.5', '3.9', '1.1', 'versicolor']
71 [ 5.9 ] :['07/05/2018', '5.9', '3.2', '4.8', '1.8', 'versicolor']
72 [ 6.1 ] :['04/05/2018', '6.1', '2.8', '4.0', '1.3', 'versicolor']
