--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83714;01/01/2007;0000;;18.4;;;;;
83714;01/01/2007;1200;32;;;;;;
83714;02/01/2007;0000;;20.2;;;;;
83714;02/01/2007;1200;6.4;;;;;;
83714;03/01/2007;0000;;19.8;;;;;
83714;03/01/2007;1200;11.4;;;;;;
83714;04/01/2007;0000;;19;;;;;
83714;04/01/2007;1200;27.6;;;;;;
83714;05/01/2007;0000;;20.4;;;;;
83714;05/01/2007;1200;53.2;;;;;;
83714;06/01/2007;0000;;18.8;;;;;
83714;06/01/2007;1200;25.4;;;;;;
83714;07/01/2007;0000;;22.8;;;;;
83714;07/01/2007;1200;17.6;;;;;;
83714;08/01/2007;0000;;22.6;;;;;
83714;08/01/2007;1200;11.4;;;;;;
83714;09/01/2007;0000;;24;;;;;
83714;09/01/2007;1200;17.4;;;;;;
83714;10/01/2007;0000;;22.6;;;;;
83714;10/01/2007;1200;12.8;;;;;;
83714;11/01/2007;0000;;25.2;;;;;
83714;11/01/2007;1200;0;;;;;;
83714;12/01/2007;0000;;25.8;;;;;
83714;12/01/2007;1200;0.2;;;;;;
83714;13/01/2007;0000;;20;;;;;
83714;13/01/2007;1200;0.4;;;;;;
83714;14/01/2007;0000;;21.4;;;;;
83714;14/01/2007;1200;6.8;;;;;;
83714;15/01/2007;0000;;19;;;;;
83714;15/01/2007;1200;6.8;;;;;;
83714;16/01/2007;0000;;21.4;;;;;
83714;16/01/2007;1200;1.9;;;;;;
83714;17/01/2007;0000;;20.6;;;;;
83714;17/01/2007;1200;0;;;;;;
83714;18/01/2007;0000;;17.8;;;;;
83714;18/01/2007;1200;33.2;;;;;;
83714;19/01/2007;0000;;25;;;;;
83714;19/01/2007;1200;33.4;;;;;;
83714;20/01/2007;0000;;24.8;;;;;
83714;20/01/2007;1200;2.6;;;;;;
83714;21/01/2007;0000;;22.8;;;;;
83714;21/01/2007;1200;2.1;;;;;;
83714;22/01/2007;0000;;18.4;;;;;
83714;22/01/2007;1200;17.5;;;;;;
83714;23/01/2007;0000;;21.4;;;;;
83714;23/01/2007;1200;0.4;;;;;;
83714;24/01/2007;0000;;22.2;;;;;
83714;24/01/2007;1200;0;;;;;;
83714;25/01/2007;0000;;24.4;;;;;
83714;25/01/2007;1200;7;;;;;;
83714;26/01/2007;0000;;26;;;;;
83714;26/01/2007;1200;0.8;;;;;;
83714;27/01/2007;0000;;24.2;;;;;
83714;27/01/2007;1200;0;;;;;;
83714;28/01/2007;0000;;25.4;;;;;
83714;28/01/2007;1200;0;;;;;;
83714;29/01/2007;0000;;21.2;;;;;
83714;29/01/2007;1200;33.6;;;;;;
83714;30/01/2007;0000;;22.2;;;;;
83714;30/01/2007;1200;8.5;;;;;;
83714;31/01/2007;0000;;25.4;;;;;
83714;31/01/2007;1200;0.2;;;;;;
83714;01/02/2007;0000;;24.8;;;;;
83714;01/02/2007;1200;0;;;;;;
83714;02/02/2007;0000;;24.8;;;;;
83714;02/02/2007;1200;0;;;;;;
83714;03/02/2007;0000;;24.8;;;;;
83714;03/02/2007;1200;7;;;;;;
83714;04/02/2007;0000;;25.8;;;;;
83714;04/02/2007;1200;0;;;;;;
83714;05/02/2007;0000;;25.4;;;;;
83714;05/02/2007;1200;0;;;;;;
83714;06/02/2007;0000;;24.8;;;;;
83714;06/02/2007;1200;0.6;;;;;;
83714;07/02/2007;0000;;24.6;;;;;
83714;07/02/2007;1200;0;;;;;;
83714;08/02/2007;0000;;21;;;;;
83714;08/02/2007;1200;8.1;;;;;;
83714;09/02/2007;0000;;25.2;;;;;
83714;09/02/2007;1200;1.3;;;;;;
83714;10/02/2007;0000;;23.6;;;;;
83714;10/02/2007;1200;4.5;;;;;;
83714;11/02/2007;0000;;21;;;;;
83714;11/02/2007;1200;0;;;;;;
83714;12/02/2007;0000;;16.8;;;;;
83714;12/02/2007;1200;29.1;;;;;;
83714;13/02/2007;0000;;19.4;;;;;
83714;13/02/2007;1200;0;;;;;;
83714;14/02/2007;0000;;21.4;;;;;
83714;14/02/2007;1200;0;;;;;;
83714;15/02/2007;0000;;22.4;;;;;
83714;15/02/2007;1200;0;;;;;;
83714;16/02/2007;0000;;22.6;;;;;
83714;16/02/2007;1200;1.9;;;;;;
83714;17/02/2007;0000;;26;;;;;
83714;17/02/2007;1200;0.6;;;;;;
83714;18/02/2007;0000;;24;;;;;
83714;18/02/2007;1200;0;;;;;;
