--------------------
BDMEP - INMET
--------------------
Estação           : FRANCA - SP (OMM: 83630)
Latitude  (graus) : -20.58
Longitude (graus) : -47.36
Altitude  (metros): 1026.20
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83630;01/01/2007;0000;;23;;0;84.75;2.666667;
83630;01/01/2007;1200;52.8;;18;;;;
83630;02/01/2007;0000;;25;;0.4;95.5;1.666667;
83630;02/01/2007;1200;7.6;;18.1;;;;
83630;03/01/2007;0000;;23.2;;0;93.75;1.666667;
83630;03/01/2007;1200;27.4;;18.7;;;;
83630;04/01/2007;0000;;26.5;;0.8;84.25;3;
83630;04/01/2007;1200;19.2;;18.4;;;;
83630;05/01/2007;0000;;22.4;;0;90.5;2.333333;
83630;05/01/2007;1200;16.4;;17.7;;;;
83630;06/01/2007;0000;;22.2;;0;92.5;2.333333;
83630;06/01/2007;1200;18.3;;18.6;;;;
83630;07/01/2007;0000;;25.9;;1.1;86.5;1.666667;
83630;07/01/2007;1200;3.1;;19.6;;;;
83630;08/01/2007;0000;;28.2;;3.4;80;2;
83630;08/01/2007;1200;9.3;;18.7;;;;
83630;09/01/2007;0000;;28.6;;6.3;79.5;1.666667;
83630;09/01/2007;1200;1;;19.3;;;;
83630;10/01/2007;0000;;28;;5.9;85;2;
83630;10/01/2007;1200;0;;21.2;;;;
83630;11/01/2007;0000;;29.8;;7.8;77;1;
83630;11/01/2007;1200;0;;20.7;;;;
83630;12/01/2007;0000;;29;;5.4;80.75;1.333333;
83630;12/01/2007;1200;0;;21.1;;;;
83630;13/01/2007;0000;;26.7;;0.5;90.5;3;
83630;13/01/2007;1200;6;;19.6;;;;
83630;14/01/2007;0000;;25.7;;0;91.5;2;
83630;14/01/2007;1200;14.8;;20.3;;;;
83630;15/01/2007;0000;;25;;0.1;90.75;3.333333;
83630;15/01/2007;1200;20;;20.2;;;;
83630;16/01/2007;0000;;23.5;;0;94.5;0.666667;
83630;16/01/2007;1200;15.2;;20;;;;
83630;17/01/2007;0000;;26.2;;0.8;88.5;1.666667;
83630;17/01/2007;1200;33.6;;19.8;;;;
83630;18/01/2007;0000;;26.4;;0.6;94.75;2.333333;
83630;18/01/2007;1200;17.2;;19.3;;;;
83630;19/01/2007;0000;;28.3;;5.4;81.5;0.666667;
83630;19/01/2007;1200;3.9;;20.3;;;;
83630;20/01/2007;0000;;29.2;;1.3;86.5;1.666667;
83630;20/01/2007;1200;0;;20.2;;;;
83630;21/01/2007;0000;;27.9;;0;85.5;1.333333;
83630;21/01/2007;1200;37.3;;19.6;;;;
83630;22/01/2007;0000;;25;;0;90.5;1.333333;
83630;22/01/2007;1200;58.6;;19;;;;
83630;23/01/2007;0000;;21.6;;0;92.5;1.333333;
83630;23/01/2007;1200;4.4;;19.1;;;;
83630;24/01/2007;0000;;24.9;;1;85.75;1.666667;
83630;24/01/2007;1200;16.3;;18.4;;;;
83630;25/01/2007;0000;;25.9;;0.4;88.25;0.666667;
83630;25/01/2007;1200;7;;20.5;;;;
83630;26/01/2007;0000;;28.3;;3.6;74.75;1.666667;
83630;26/01/2007;1200;6.7;;19.7;;;;
83630;27/01/2007;0000;;24.2;;0;92.25;1.333333;
83630;27/01/2007;1200;26.8;;19.6;;;;
83630;28/01/2007;0000;;26.2;;1.9;90.75;2;
83630;28/01/2007;1200;5.1;;19.5;;;;
83630;29/01/2007;0000;;26.2;;0.6;86.25;3.666667;
