--------------------
BDMEP - INMET
--------------------
Estação           : PRESIDENTE PRUDENTE - SP (OMM: 83716)
Latitude  (graus) : -22.11
Longitude (graus) : -51.38
Altitude  (metros): 435.55
Estação Operante
Inicio de operação: 01/10/1940
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83716;01/01/2007;0000;;26.2;;0;92.5;1.866667;
83716;01/01/2007;1200;8.4;;22.4;;;;
83716;02/01/2007;0000;;28;;0.9;93.25;1.633333;
83716;02/01/2007;1200;6;;21.2;;;;
83716;03/01/2007;0000;;27.2;;0;91.25;1.133333;
83716;03/01/2007;1200;62.9;;21.1;;;;
83716;04/01/2007;0000;;31.6;;5.4;81.25;2.266667;
83716;04/01/2007;1200;33;;21.7;;;;
83716;05/01/2007;0000;;28.7;;0.5;91.25;2.1;
83716;05/01/2007;1200;21.6;;22.2;;;;
83716;06/01/2007;0000;;28.6;;0.8;92.5;1.633333;
83716;06/01/2007;1200;53.1;;22.8;;;;
83716;07/01/2007;0000;;25.1;;0;94.5;2.7;
83716;07/01/2007;1200;53.3;;23.1;;;;
83716;08/01/2007;0000;;29.4;;3.9;89.75;1.4;
83716;08/01/2007;1200;0.5;;22.8;;;;
83716;09/01/2007;0000;;28.7;;0.4;84;0.533333;
83716;09/01/2007;1200;17;;22.5;;;;
83716;10/01/2007;0000;;32.2;;5.9;80.5;0.8;
83716;10/01/2007;1200;0.5;;22.6;;;;
83716;11/01/2007;0000;;31.1;;4.3;86.75;0.833333;
83716;11/01/2007;1200;4.5;;23.8;;;;
83716;12/01/2007;0000;;32.2;;7;84;2.2;
83716;12/01/2007;1200;0.6;;22.6;;;;
83716;13/01/2007;0000;;30.3;;2.6;83.75;1.366667;
83716;13/01/2007;1200;5.5;;22.5;;;;
83716;14/01/2007;0000;;29.6;;4.4;83.25;2.166667;
83716;14/01/2007;1200;13.7;;23;;;;
83716;15/01/2007;0000;;29.3;;3.8;70.25;2.933333;
83716;15/01/2007;1200;0;;21.6;;;;
83716;16/01/2007;0000;;31.1;;8.8;55.25;2.766667;
83716;16/01/2007;1200;0;;21;;;;
83716;17/01/2007;0000;;29.3;;1.1;92;1.266667;
83716;17/01/2007;1200;0.4;;21.5;;;;
83716;18/01/2007;0000;;32.1;;6.8;83.75;3.133333;
83716;18/01/2007;1200;35.8;;21.4;;;;
83716;19/01/2007;0000;;33.7;;9.9;69.75;1.966667;
83716;19/01/2007;1200;8.8;;23;;;;
83716;20/01/2007;0000;;31.2;;4.1;74.75;1.966667;
83716;20/01/2007;1200;9.2;;21.6;;;;
83716;21/01/2007;0000;;31.5;;4.9;68.75;0.333333;
83716;21/01/2007;1200;0;;22.4;;;;
83716;22/01/2007;0000;;28.1;;0;79.75;2.4;
83716;22/01/2007;1200;0;;22.5;;;;
83716;23/01/2007;0000;;30.2;;6.2;73.75;1.666667;
83716;23/01/2007;1200;0;;21.1;;;;
83716;24/01/2007;0000;;31.9;;9.8;68.5;1.966667;
83716;24/01/2007;1200;0;;22.4;;;;
