--------------------
BDMEP - INMET
--------------------
Estação           : SAO CARLOS - SP (OMM: 83726)
Latitude  (graus) : -21.96
Longitude (graus) : -47.86
Altitude  (metros): 856.00
Estação Operante
Inicio de operação: 24/09/1939
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83726;01/01/2007;0000;;22.2;;0;0.4;20.24;95.25;2.8;
83726;01/01/2007;1200;42.8;;19.3;;;;;;
83726;02/01/2007;0000;;23.1;;0;0.5;20.06;95.5;3.166667;
83726;02/01/2007;1200;29.4;;19.3;;;;;;
83726;03/01/2007;0000;;23.5;;0;0.4;20.64;96.5;2.266667;
83726;03/01/2007;1200;26.2;;18.9;;;;;;
83726;04/01/2007;0000;;24.7;;0;0.5;21.2;92.75;2.1;
83726;04/01/2007;1200;14.2;;18.9;;;;;;
83726;05/01/2007;0000;;21;;0;0.7;20.08;98.5;3.233333;
83726;05/01/2007;1200;17.6;;18.8;;;;;;
83726;06/01/2007;0000;;20.4;;0;0.4;19.98;97.75;3.333333;
83726;06/01/2007;1200;51.6;;19.1;;;;;;
83726;07/01/2007;0000;;27;;2.4;0.3;22;93.5;1.733333;
83726;07/01/2007;1200;26;;19.1;;;;;;
83726;08/01/2007;0000;;29.9;;9.1;1.4;23.4;80.5;2.133333;
83726;08/01/2007;1200;1.4;;19.6;;;;;;
83726;09/01/2007;0000;;28.9;;6.2;2.3;24.26;80.75;2.533333;
83726;09/01/2007;1200;8.8;;19.9;;;;;;
83726;10/01/2007;0000;;28.4;;3.2;2.2;24.28;83;1;
83726;10/01/2007;1200;0.6;;20.7;;;;;;
83726;11/01/2007;0000;;31.1;;10.6;2;24.82;70.25;2.133333;
83726;11/01/2007;1200;7.6;;18.7;;;;;;
83726;12/01/2007;0000;;29.7;;5.1;4.1;23.88;86.5;2.266667;
83726;12/01/2007;1200;0;;19.7;;;;;;
83726;13/01/2007;0000;;27.5;;2.1;2;22.48;92.25;2.2;
83726;13/01/2007;1200;1.4;;20.9;;;;;;
83726;14/01/2007;0000;;26.9;;0;1.7;21.8;91;2.433333;
83726;14/01/2007;1200;9.9;;19.9;;;;;;
83726;15/01/2007;0000;;24.3;;0.1;1.8;20.68;90.25;2.666667;
83726;15/01/2007;1200;12.4;;18.7;;;;;;
83726;16/01/2007;0000;;26;;0.4;1;21.52;82.25;1.8;
83726;16/01/2007;1200;5.8;;18.4;;;;;;
83726;17/01/2007;0000;;28;;1.5;2.4;22.66;87;2.633333;
83726;17/01/2007;1200;0;;19.7;;;;;;
83726;18/01/2007;0000;;28.2;;1.3;1.4;21.96;91.25;2.866667;
83726;18/01/2007;1200;30.4;;19.2;;;;;;
83726;19/01/2007;0000;;31.1;;7.2;0.8;23.74;82;2.366667;
83726;19/01/2007;1200;11.4;;20.3;;;;;;
83726;20/01/2007;0000;;27.8;;0;2.2;23.14;91.75;1.866667;
83726;20/01/2007;1200;3.8;;20.9;;;;;;
83726;21/01/2007;0000;;29.1;;1.7;1;21.94;87.75;2.133333;
83726;21/01/2007;1200;10.2;;18.6;;;;;;
83726;22/01/2007;0000;;24.3;;0;1.5;21.22;84.75;3.033333;
83726;22/01/2007;1200;21;;19.7;;;;;;
83726;23/01/2007;0000;;25.7;;1.4;1.8;21.06;91.5;2.133333;
83726;23/01/2007;1200;0.2;;18.3;;;;;;
83726;24/01/2007;0000;;29.3;;8.6;1.1;22.72;80.5;1.6;
83726;24/01/2007;1200;2.9;;17.9;;;;;;
83726;25/01/2007;0000;;27.8;;4.8;2.4;23.12;88;2.9;
83726;25/01/2007;1200;7.6;;20;;;;;;
83726;26/01/2007;0000;;29.2;;3.4;1.8;23.72;87;1.766667;
83726;26/01/2007;1200;31.9;;20.5;;;;;;
83726;27/01/2007;0000;;24.9;;0.2;1.4;21.84;96.75;2.2;
83726;27/01/2007;1200;0;;19.5;;;;;;
83726;28/01/2007;0000;;27.3;;1.6;0.4;21.92;92.5;2.4;
83726;28/01/2007;1200;31.5;;19.5;;;;;;
83726;29/01/2007;0000;;27;;1.2;1.1;22.1;91.5;2.233333;
83726;29/01/2007;1200;43.7;;20.3;;;;;;
83726;30/01/2007;0000;;31;;6.6;1.4;24.38;82;2.066667;
83726;30/01/2007;1200;17.9;;20.6;;;;;;
83726;31/01/2007;0000;;29.7;;3.8;2.7;24.3;78.5;1.533333;
83726;31/01/2007;1200;0;;19.7;;;;;;
83726;01/02/2007;0000;;32.4;;8.1;2.5;25.4;76;1.6;
83726;01/02/2007;1200;0;;19.9;;;;;;
83726;02/02/2007;0000;;28.4;;2.3;3.1;22.8;85.5;2.266667;
83726;02/02/2007;1200;0;;19.8;;;;;;
83726;03/02/2007;0000;;29;;3.1;1.5;23.12;83;1.333333;
83726;03/02/2007;1200;11.8;;18.5;;;;;;
83726;04/02/2007;0000;;30.5;;8.6;2;23.64;76.5;2.633333;
83726;04/02/2007;1200;0;;18.2;;;;;;
83726;05/02/2007;0000;;30.1;;7;3.7;24.6;80.5;1.3;
83726;05/02/2007;1200;0.6;;20.4;;;;;;
83726;06/02/2007;0000;;28.3;;4.2;2.7;22.8;88.75;1.633333;
83726;06/02/2007;1200;20.3;;18.9;;;;;;
83726;07/02/2007;0000;;30.1;;6.9;2.4;23.9;80.5;1.833333;
83726;07/02/2007;1200;0;;20.1;;;;;;
83726;08/02/2007;0000;;27.4;;0.6;2.2;22.94;92.5;1.966667;
83726;08/02/2007;1200;3.4;;21;;;;;;
83726;09/02/2007;0000;;29.3;;3.5;0.6;23.8;86.75;1.033333;
83726;09/02/2007;1200;19.3;;20.3;;;;;;
83726;10/02/2007;0000;;29.9;;3.5;2.6;24.68;76;1.4;
83726;10/02/2007;1200;1.2;;21.4;;;;;;
83726;11/02/2007;0000;;27.4;;1.7;3.4;21.96;85.5;1.7;
83726;11/02/2007;1200;0.5;;20.1;;;;;;
83726;12/02/2007;0000;;25.6;;6.9;2.2;20.82;70;3.333333;
83726;12/02/2007;1200;7.6;;17.1;;;;;;
83726;13/02/2007;0000;;26.5;;9.2;4.6;21.16;64.5;4.066667;
83726;13/02/2007;1200;0;;15.3;;;;;;
83726;14/02/2007;0000;;27.9;;6.3;4.3;22.18;64.25;3.5;
83726;14/02/2007;1200;0;;15.2;;;;;;
83726;15/02/2007;0000;;29;;9.8;4;22.9;70.75;3.033333;
83726;15/02/2007;1200;0;;17.8;;;;;;
83726;16/02/2007;0000;;31.5;;9.3;3.8;23.82;70.25;2.866667;
83726;16/02/2007;1200;0;;17.8;;;;;;
83726;17/02/2007;0000;;32.3;;9.4;4.2;25.8;67.5;1.8;
83726;17/02/2007;1200;0;;19.9;;;;;;
83726;18/02/2007;0000;;31.4;;7.6;5;23.82;80.5;1.3;
83726;18/02/2007;1200;0;;20.6;;;;;;
83726;19/02/2007;0000;;29.5;;2.5;2;23.08;82;2.566667;
83726;19/02/2007;1200;14.5;;19.9;;;;;;
83726;20/02/2007;0000;;27.2;;3.5;2.5;22.92;90.5;2.5;
83726;20/02/2007;1200;4.8;;20.2;;;;;;
83726;21/02/2007;0000;;30.3;;8.2;1.2;23.96;73;2.633333;
83726;21/02/2007;1200;8;;20;;;;;;
83726;22/02/2007;0000;;30.3;;10.7;3.8;24.04;64;2.933333;
83726;22/02/2007;1200;0;;19.9;;;;;;
83726;23/02/2007;0000;;30.4;;11.1;4.7;24.14;66.75;3.4;
83726;23/02/2007;1200;0;;19.8;;;;;;
83726;24/02/2007;0000;;31.6;;10.8;5.4;24.74;59.25;2.2;
83726;24/02/2007;1200;0;;18.1;;;;;;
83726;25/02/2007;0000;;29.7;;5.3;5.6;21.94;85.25;2.933333;
83726;25/02/2007;1200;0;;18.5;;;;;;
83726;26/02/2007;0000;;28.1;;1.7;2.1;21.22;78.75;1.633333;
83726;26/02/2007;1200;43.8;;17.9;;;;;;
83726;27/02/2007;0000;;26.7;;2.2;2.5;20.7;89.25;1.8;
83726;27/02/2007;1200;18;;18.3;;;;;;
83726;28/02/2007;0000;;26.9;;2.4;1.6;21.92;90.5;1.566667;
83726;28/02/2007;1200;35.4;;19.9;;;;;;
83726;01/03/2007;0000;;28.7;;6.9;1.7;22.88;79.75;1.6;
83726;01/03/2007;1200;2.5;;19.5;;;;;;
83726;02/03/2007;0000;;30.1;;9.9;3.4;23.56;67.75;1.8;
83726;02/03/2007;1200;0;;19;;;;;;
83726;03/03/2007;0000;;31.2;;9.7;4.6;25.16;61.25;1.233333;
83726;03/03/2007;1200;0;;19.1;;;;;;
83726;04/03/2007;0000;;30.7;;9.4;4.6;24.34;66.5;0.8;
83726;04/03/2007;1200;0;;20;;;;;;
83726;05/03/2007;0000;;30.8;;8.4;5.1;23.88;63.5;1.633333;
83726;05/03/2007;1200;0;;19;;;;;;
83726;06/03/2007;0000;;31.1;;8.5;4.5;24.34;68.5;2.733333;
83726;06/03/2007;1200;0;;19;;;;;;
83726;07/03/2007;0000;;31.6;;10.1;4;25.08;67.5;2.2;
83726;07/03/2007;1200;2.6;;20.5;;;;;;
83726;08/03/2007;0000;;31.9;;9.9;4.6;25.04;62.5;2.4;
83726;08/03/2007;1200;0;;20.1;;;;;;
83726;09/03/2007;0000;;30.9;;7.1;4.9;24.34;71.5;1.8;
83726;09/03/2007;1200;0;;20.5;;;;;;
83726;10/03/2007;0000;;31.9;;8.8;4.3;25.08;64.75;1.633333;
83726;10/03/2007;1200;0;;18.8;;;;;;
83726;11/03/2007;0000;;30.2;;9.7;4.5;24.46;71.5;2.566667;
83726;11/03/2007;1200;4;;19.6;;;;;;
83726;12/03/2007;0000;;30.8;;6.8;3.7;24.3;67.75;1.633333;
83726;12/03/2007;1200;0;;20.3;;;;;;
83726;13/03/2007;0000;;31;;8.5;4.4;25.06;62.25;1.033333;
83726;13/03/2007;1200;0;;19.6;;;;;;
83726;14/03/2007;0000;;29.4;;1.2;4.6;22.8;77.25;1.4;
83726;14/03/2007;1200;0;;19.5;;;;;;
83726;15/03/2007;0000;;28.9;;7;2.8;23.48;77.75;0.833333;
83726;15/03/2007;1200;4.2;;18.9;;;;;;
83726;16/03/2007;0000;;28.3;;2.6;2.7;23.22;85.5;1.3;
83726;16/03/2007;1200;0.3;;20.5;;;;;;
83726;17/03/2007;0000;;25.6;;0.8;1.8;21.66;88.75;1.3;
83726;17/03/2007;1200;14.6;;19.1;;;;;;
83726;18/03/2007;0000;;26.7;;2.4;1.9;22.08;87.75;1.633333;
83726;18/03/2007;1200;6.8;;19.1;;;;;;
83726;19/03/2007;0000;;23.8;;0;2;19.86;89.25;0.633333;
83726;19/03/2007;1200;45;;18.5;;;;;;
83726;20/03/2007;0000;;25.2;;2.8;1.1;19.42;81;2.4;
83726;20/03/2007;1200;0.4;;17.4;;;;;;
83726;21/03/2007;0000;;28.2;;7.5;2.8;21.68;67;1.7;
83726;21/03/2007;1200;0;;13.2;;;;;;
83726;22/03/2007;0000;;28.5;;1.1;3.7;22.42;80.25;1.166667;
83726;22/03/2007;1200;0;;19.9;;;;;;
83726;23/03/2007;0000;;31.1;;8.2;2.2;23.6;72.25;2.033333;
83726;23/03/2007;1200;0.3;;19.4;;;;;;
83726;24/03/2007;0000;;31.4;;7.3;3.4;24.18;73.5;2.9;
83726;24/03/2007;1200;27;;19.5;;;;;;
83726;25/03/2007;0000;;31.8;;7.8;3.3;23.66;74.75;2.5;
83726;25/03/2007;1200;0;;19.6;;;;;;
83726;26/03/2007;0000;;31.6;;7.9;3.1;24.36;72.75;1.466667;
83726;26/03/2007;1200;0;;19.3;;;;;;
83726;27/03/2007;0000;;32.2;;9.8;3.4;25.08;68.5;0.633333;
83726;27/03/2007;1200;0;;19.5;;;;;;
83726;28/03/2007;0000;;32.4;;7.4;4.4;25.3;67.25;0.766667;
83726;28/03/2007;1200;0;;20;;;;;;
83726;29/03/2007;0000;;33.2;;9.4;4.6;25.02;63.25;1.466667;
83726;29/03/2007;1200;0;;19.5;;;;;;
83726;30/03/2007;0000;;31.1;;9.9;4.7;24.08;66.25;1.466667;
83726;30/03/2007;1200;0;;20.1;;;;;;
83726;31/03/2007;0000;;32.5;;8.1;4.3;24.9;66.25;1.266667;
