Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Ocorrencia
,22.2,,0,0.4,20.24,95.25,2.80,LANINA
42.8,,19.3,,,,,3.17,LANINA
,23.1,,0,0.5,20.06,95.5,2.27,LANINA
29.4,,19.3,,,,,2.10,LANINA
,23.5,,0,0.4,20.64,96.5,3.23,LANINA
26.2,,18.9,,,,,3.33,LANINA
,24.7,,0,0.5,21.2,92.75,1.73,LANINA
14.2,,18.9,,,,,2.13,LANINA
,21,,0,0.7,20.08,98.5,2.53,LANINA
17.6,,18.8,,,,,1.00,LANINA
,20.4,,0,0.4,19.98,97.75,2.13,LANINA
51.6,,19.1,,,,,2.27,LANINA
,27,,2.4,0.3,22,93.5,2.20,LANINA
26,,19.1,,,,,2.43,LANINA
,29.9,,9.1,1.4,23.4,80.5,2.67,LANINA
1.4,,19.6,,,,,1.80,LANINA
,28.9,,6.2,2.3,24.26,80.75,2.63,LANINA
8.8,,19.9,,,,,2.87,LANINA
,28.4,,3.2,2.2,24.28,83,2.37,LANINA
0.6,,20.7,,,,,1.87,LANINA
,31.1,,10.6,2,24.82,70.25,2.13,LANINA
7.6,,18.7,,,,,3.03,LANINA
,29.7,,5.1,4.1,23.88,86.5,2.13,LANINA
0,,19.7,,,,,1.60,LANINA
,27.5,,2.1,2,22.48,92.25,2.90,LANINA
1.4,,20.9,,,,,1.77,LANINA
,26.9,,0,1.7,21.8,91,2.20,LANINA
9.9,,19.9,,,,,2.40,LANINA
,24.3,,0.1,1.8,20.68,90.25,2.23,LANINA
12.4,,18.7,,,,,2.07,LANINA
,26,,0.4,1,21.52,82.25,1.53,LANINA
5.8,,18.4,,,,,1.60,LANINA
,28,,1.5,2.4,22.66,87,2.27,LANINA
0,,19.7,,,,,1.33,LANINA
,28.2,,1.3,1.4,21.96,91.25,2.63,LANINA
30.4,,19.2,,,,,1.30,LANINA
,31.1,,7.2,0.8,23.74,82,1.63,LANINA
11.4,,20.3,,,,,1.83,LANINA
,27.8,,0,2.2,23.14,91.75,1.97,LANINA
3.8,,20.9,,,,,1.03,LANINA
,29.1,,1.7,1,21.94,87.75,1.40,LANINA
10.2,,18.6,,,,,1.70,LANINA
,24.3,,0,1.5,21.22,84.75,3.33,LANINA
21,,19.7,,,,,4.07,LANINA
,25.7,,1.4,1.8,21.06,91.5,3.50,LANINA
0.2,,18.3,,,,,3.03,LANINA
,29.3,,8.6,1.1,22.72,80.5,2.87,LANINA
2.9,,17.9,,,,,1.80,LANINA
,27.8,,4.8,2.4,23.12,88,1.30,LANINA
7.6,,20,,,,,2.57,LANINA
,29.2,,3.4,1.8,23.72,87,2.50,LANINA
31.9,,20.5,,,,,2.63,LANINA
,24.9,,0.2,1.4,21.84,96.75,2.93,LANINA
0,,19.5,,,,,3.40,LANINA
