--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83781;01/01/2007;0000;;25.5;;0.1;86;1.866667;
83781;01/01/2007;1200;36.2;;17.8;;;;
83781;02/01/2007;0000;;26.3;;1.9;79.5;2.366667;
83781;02/01/2007;1200;2.4;;19.2;;;;
83781;03/01/2007;0000;;27.3;;2.4;85;2.366667;
83781;03/01/2007;1200;2.7;;20.2;;;;
83781;04/01/2007;0000;;25.3;;0.6;89.75;2.733333;
83781;04/01/2007;1200;16.8;;20.3;;;;
83781;05/01/2007;0000;;23.9;;0;85.75;3.533333;
83781;05/01/2007;1200;36.7;;20.1;;;;
83781;06/01/2007;0000;;25.8;;0.4;77.75;3.433333;
83781;06/01/2007;1200;1.3;;20.4;;;;
83781;07/01/2007;0000;;29;;3.9;77.75;2.766667;
83781;07/01/2007;1200;0.2;;20.7;;;;
83781;08/01/2007;0000;;26.8;;2.1;81.75;1.633333;
83781;08/01/2007;1200;11.3;;20.5;;;;
83781;09/01/2007;0000;;26.9;;0.9;81.5;1.833333;
83781;09/01/2007;1200;0;;19.7;;;;
83781;10/01/2007;0000;;29;;6.6;74.25;1.266667;
83781;10/01/2007;1200;0;;19.4;;;;
83781;11/01/2007;0000;;31.5;;10.4;56.25;1.5;
83781;11/01/2007;1200;0;;18.7;;;;
83781;12/01/2007;0000;;30.3;;6.9;66;3.666667;
83781;12/01/2007;1200;0;;19.7;;;;
83781;13/01/2007;0000;;25.5;;0;82;1.666667;
83781;13/01/2007;1200;0;;19.9;;;;
83781;14/01/2007;0000;;30.3;;10.4;62.5;2.466667;
83781;14/01/2007;1200;2.1;;19.4;;;;
83781;15/01/2007;0000;;25.7;;0.7;67.5;3.2;
83781;15/01/2007;1200;0;;19.5;;;;
83781;16/01/2007;0000;;27.7;;9.5;66.5;2.866667;
83781;16/01/2007;1200;0;;17.7;;;;
83781;17/01/2007;0000;;27.1;;2.7;79.75;3.266667;
83781;17/01/2007;1200;0;;17.7;;;;
83781;18/01/2007;0000;;25.1;;0.9;85.25;3.833333;
83781;18/01/2007;1200;21.8;;21.1;;;;
83781;19/01/2007;0000;;30.1;;3.9;73.25;1.433333;
83781;19/01/2007;1200;3.6;;20.6;;;;
83781;20/01/2007;0000;;26.4;;0;76;3.866667;
83781;20/01/2007;1200;0;;21.2;;;;
83781;21/01/2007;0000;;25.8;;0.8;86.5;3.133333;
83781;21/01/2007;1200;5.6;;19.7;;;;
83781;22/01/2007;0000;;23.3;;0.2;83.75;2.633333;
83781;22/01/2007;1200;22.3;;18.1;;;;
83781;23/01/2007;0000;;25.4;;3.3;78.25;3.6;
83781;23/01/2007;1200;0;;18;;;;
83781;24/01/2007;0000;;30.5;;7.3;70.5;2.866667;
83781;24/01/2007;1200;0;;18.6;;;;
83781;25/01/2007;0000;;29.3;;5.3;83.25;2;
83781;25/01/2007;1200;0;;19.6;;;;
83781;26/01/2007;0000;;30.1;;7.8;77;2.733333;
83781;26/01/2007;1200;3.7;;20.7;;;;
83781;27/01/2007;0000;;28.7;;4.8;76.75;2.766667;
83781;27/01/2007;1200;19.8;;21.4;;;;
83781;28/01/2007;0000;;29.3;;7.9;80.25;3.433333;
83781;28/01/2007;1200;0.3;;21.9;;;;
83781;29/01/2007;0000;;28.1;;4;83.75;3.466667;
83781;29/01/2007;1200;10.6;;21.1;;;;
83781;30/01/2007;0000;;27.3;;2.3;83.5;2.366667;
83781;30/01/2007;1200;16.1;;19.7;;;;
83781;31/01/2007;0000;;26.9;;2.5;81.25;3.2;
83781;31/01/2007;1200;0;;20.1;;;;
83781;01/02/2007;0000;;32.1;;7.2;78.75;3.033333;
83781;01/02/2007;1200;0;;20.2;;;;
83781;02/02/2007;0000;;28.6;;3.1;75.75;2.633333;
83781;02/02/2007;1200;0;;21.2;;;;
83781;03/02/2007;0000;;29.3;;11.1;64;3.433333;
83781;03/02/2007;1200;0;;19.7;;;;
83781;04/02/2007;0000;;29.5;;8.7;71.5;4.366667;
83781;04/02/2007;1200;0;;17.9;;;;
83781;05/02/2007;0000;;32.3;;8.6;69.5;2.9;
83781;05/02/2007;1200;0;;19.2;;;;
83781;06/02/2007;0000;;30.7;;7.6;69.75;2.766667;
83781;06/02/2007;1200;22.1;;19.9;;;;
83781;07/02/2007;0000;;31.3;;8.2;77.25;2.633333;
83781;07/02/2007;1200;0;;19.9;;;;
83781;08/02/2007;0000;;27.3;;0.7;90.75;1.5;
83781;08/02/2007;1200;103.3;;20.7;;;;
83781;09/02/2007;0000;;28.3;;1.1;75.25;1.166667;
83781;09/02/2007;1200;30.9;;20.9;;;;
83781;10/02/2007;0000;;30.3;;3.1;62.5;2.1;
83781;10/02/2007;1200;0;;22.2;;;;
83781;11/02/2007;0000;;27;;0.3;86;3.166667;
83781;11/02/2007;1200;2.1;;18.9;;;;
83781;12/02/2007;0000;;23.9;;7;72.25;4.533333;
83781;12/02/2007;1200;8.9;;17.2;;;;
83781;13/02/2007;0000;;25.9;;10.5;69.25;3.3;
83781;13/02/2007;1200;0;;15.7;;;;
83781;14/02/2007;0000;;27.8;;9.2;76;2.9;
83781;14/02/2007;1200;0;;16.7;;;;
83781;15/02/2007;0000;;28.3;;7.3;75.5;3.7;
83781;15/02/2007;1200;0;;17.2;;;;
83781;16/02/2007;0000;;30.7;;7.5;69.75;3.1;
83781;16/02/2007;1200;0;;18.7;;;;
83781;17/02/2007;0000;;33;;11.7;57;2.7;
83781;17/02/2007;1200;0;;19.1;;;;
83781;18/02/2007;0000;;32.9;;7.3;71.75;2.866667;
83781;18/02/2007;1200;0;;17.9;;;;
83781;19/02/2007;0000;;30.3;;4;80.25;1.666667;
83781;19/02/2007;1200;33.2;;18;;;;
83781;20/02/2007;0000;;31;;5.8;77.5;3.2;
83781;20/02/2007;1200;39.4;;20;;;;
83781;21/02/2007;0000;;30.9;;9;72.5;2.5;
83781;21/02/2007;1200;0;;21.7;;;;
83781;22/02/2007;0000;;32.5;;10;59.5;2.733333;
83781;22/02/2007;1200;0;;20.7;;;;
83781;23/02/2007;0000;;33.2;;11.3;55.5;2.333333;
83781;23/02/2007;1200;0;;20.8;;;;
83781;24/02/2007;0000;;32.7;;10.5;46.75;2.233333;
83781;24/02/2007;1200;0;;21.1;;;;
83781;25/02/2007;0000;;32.7;;7.7;68.25;2.2;
83781;25/02/2007;1200;0;;19.2;;;;
83781;26/02/2007;0000;;31.7;;9.9;78.25;2.4574;
83781;26/02/2007;1200;36.8;;19.2;;;;
83781;27/02/2007;0000;;25.6;;0.5;84;1.166667;
83781;27/02/2007;1200;0.5;;18.7;;;;
83781;28/02/2007;0000;;29.5;;1.8;72.5;2.3;
83781;28/02/2007;1200;8.7;;20;;;;
83781;01/03/2007;0000;;31.8;;8.9;51;2.033333;
83781;01/03/2007;1200;0;;21.3;;;;
83781;02/03/2007;0000;;32.3;;10.8;50.25;2.4;
83781;02/03/2007;1200;0;;20.5;;;;
83781;03/03/2007;0000;;32.5;;9.7;67.75;3.133333;
83781;03/03/2007;1200;0;;21.5;;;;
83781;04/03/2007;0000;;31.9;;10.8;64.75;2.633333;
83781;04/03/2007;1200;0;;20;;;;
83781;05/03/2007;0000;;32.4;;10.6;59.25;2.066667;
83781;05/03/2007;1200;0;;20.1;;;;
83781;06/03/2007;0000;;32.9;;9.6;65.25;1.433333;
83781;06/03/2007;1200;0;;20.7;;;;
83781;07/03/2007;0000;;32.9;;8.1;67.75;1.9;
83781;07/03/2007;1200;0;;20.6;;;;
83781;08/03/2007;0000;;33.3;;7.7;69;2.1;
83781;08/03/2007;1200;1.1;;20.4;;;;
83781;09/03/2007;0000;;32.7;;10.7;60;1.5;
83781;09/03/2007;1200;18.8;;20.7;;;;
83781;10/03/2007;0000;;32.5;;8.7;62.25;1.866667;
83781;10/03/2007;1200;0;;22.2;;;;
83781;11/03/2007;0000;;31.6;;7.3;72;1.766667;
83781;11/03/2007;1200;0.6;;21.4;;;;
83781;12/03/2007;0000;;31.1;;5.8;76;2.166667;
83781;12/03/2007;1200;0.8;;21.2;;;;
83781;13/03/2007;0000;;32.3;;6.4;64.5;2.733333;
83781;13/03/2007;1200;0.3;;19.7;;;;
83781;14/03/2007;0000;;29.5;;1.1;80.25;2.433333;
83781;14/03/2007;1200;0;;19.7;;;;
83781;15/03/2007;0000;;30.3;;8.7;60.25;1.6;
83781;15/03/2007;1200;31;;19;;;;
83781;16/03/2007;0000;;28.8;;3.9;83.75;2.566667;
83781;16/03/2007;1200;0;;19.7;;;;
83781;17/03/2007;0000;;26.9;;3.3;86.25;2.4;
83781;17/03/2007;1200;76;;19.1;;;;
83781;18/03/2007;0000;;26.3;;3.1;89.25;3.266667;
83781;18/03/2007;1200;8.9;;19.1;;;;
83781;19/03/2007;0000;;24.8;;1;77.75;3.6;
83781;19/03/2007;1200;39.9;;20;;;;
83781;20/03/2007;0000;;25.6;;5.7;69;2.933333;
83781;20/03/2007;1200;1;;18.6;;;;
83781;21/03/2007;0000;;28.5;;10.7;60.25;2.466667;
83781;21/03/2007;1200;0;;17.6;;;;
83781;22/03/2007;0000;;26.3;;0.2;74.5;3.2;
83781;22/03/2007;1200;0;;19.5;;;;
83781;23/03/2007;0000;;29.3;;6.3;87;1.966667;
83781;23/03/2007;1200;0;;19.7;;;;
83781;24/03/2007;0000;;30.6;;9;70;2.2;
83781;24/03/2007;1200;7;;18.7;;;;
83781;25/03/2007;0000;;30.1;;9.1;65;3.266667;
83781;25/03/2007;1200;0;;17.7;;;;
83781;26/03/2007;0000;;31.7;;9.9;66.75;2.8;
83781;26/03/2007;1200;0;;17.5;;;;
83781;27/03/2007;0000;;32.9;;8.1;64.75;1.5;
83781;27/03/2007;1200;0;;19;;;;
