Estacao;Data;Hora;Velocidade do Vento Media;
83726;01/01/2007;0000;2.8;
83726;02/01/2007;0000;3.166667;
83726;03/01/2007;0000;2.266667;
83726;04/01/2007;0000;2.1;
83726;05/01/2007;0000;3.233333;
83726;06/01/2007;0000;3.333333;
83726;07/01/2007;0000;1.733333;
83726;08/01/2007;0000;2.133333;
83726;09/01/2007;0000;2.533333;
83726;10/01/2007;0000;1;
83726;11/01/2007;0000;2.133333;
83726;12/01/2007;0000;2.266667;
83726;13/01/2007;0000;2.2;
83726;14/01/2007;0000;2.433333;
83726;15/01/2007;0000;2.666667;
83726;16/01/2007;0000;1.8;
83726;17/01/2007;0000;2.633333;
83726;18/01/2007;0000;2.866667;
83726;19/01/2007;0000;2.366667;
83726;20/01/2007;0000;1.866667;
83726;21/01/2007;0000;2.133333;
83726;22/01/2007;0000;3.033333;
83726;23/01/2007;0000;2.133333;
83726;24/01/2007;0000;1.6;
83726;25/01/2007;0000;2.9;
83726;26/01/2007;0000;1.766667;
83726;27/01/2007;0000;2.2;
83726;28/01/2007;0000;2.4;
83726;29/01/2007;0000;2.233333;
83726;30/01/2007;0000;2.066667;
83726;31/01/2007;0000;1.533333;
83726;01/02/2007;0000;1.6;
83726;02/02/2007;0000;2.266667;
83726;03/02/2007;0000;1.333333;
83726;04/02/2007;0000;2.633333;
83726;05/02/2007;0000;1.3;
83726;06/02/2007;0000;1.633333;
83726;07/02/2007;0000;1.833333;
83726;08/02/2007;0000;1.966667;
83726;09/02/2007;0000;1.033333;
83726;10/02/2007;0000;1.4;
83726;11/02/2007;0000;1.7;
83726;12/02/2007;0000;3.333333;
83726;13/02/2007;0000;4.066667;
83726;14/02/2007;0000;3.5;
83726;15/02/2007;0000;3.033333;
83726;16/02/2007;0000;2.866667;
83726;17/02/2007;0000;1.8;
83726;18/02/2007;0000;1.3;
83726;19/02/2007;0000;2.566667;
83726;20/02/2007;0000;2.5;
83726;21/02/2007;0000;2.633333;
83726;22/02/2007;0000;2.933333;
83726;23/02/2007;0000;3.4;
83726;24/02/2007;0000;2.2;
83726;25/02/2007;0000;2.933333;
83726;26/02/2007;0000;1.633333;
83726;27/02/2007;0000;1.8;
83726;28/02/2007;0000;1.566667;
83726;01/03/2007;0000;1.6;
83726;02/03/2007;0000;1.8;
83726;03/03/2007;0000;1.233333;
83726;04/03/2007;0000;0.8;
83726;05/03/2007;0000;1.633333;
83726;06/03/2007;0000;2.733333;
83726;07/03/2007;0000;2.2;
83726;08/03/2007;0000;2.4;
83726;09/03/2007;0000;1.8;
83726;10/03/2007;0000;1.633333;
83726;11/03/2007;0000;2.566667;
83726;12/03/2007;0000;1.633333;
83726;13/03/2007;0000;1.033333;
83726;14/03/2007;0000;1.4;
83726;15/03/2007;0000;0.833333;
83726;16/03/2007;0000;1.3;
83726;17/03/2007;0000;1.3;
83726;18/03/2007;0000;1.633333;
83726;19/03/2007;0000;0.633333;
83726;20/03/2007;0000;2.4;
83726;21/03/2007;0000;1.7;
83726;22/03/2007;0000;1.166667;
83726;23/03/2007;0000;2.033333;
83726;24/03/2007;0000;2.9;
83726;25/03/2007;0000;2.5;
83726;26/03/2007;0000;1.466667;
83726;27/03/2007;0000;0.633333;
83726;28/03/2007;0000;0.766667;
83726;29/03/2007;0000;1.466667;
83726;30/03/2007;0000;1.466667;
83726;31/03/2007;0000;1.266667;
83726;01/04/2007;0000;1.633333;
83726;02/04/2007;0000;1.466667;
83726;03/04/2007;0000;2.2;
83726;04/04/2007;0000;2.7;
83726;05/04/2007;0000;3.3;
83726;06/04/2007;0000;3.266667;
83726;07/04/2007;0000;2.433333;
